time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20231110:0930,378.23,120.28,31.71,27.77,27.34,2.28,0.0
20231110:1030,232.61,79.27,15.18,17.17,27.39,2.28,0.0
20231110:1130,220.2,39.9,4.27,5.44,26.72,2.14,0.0
20231110:1230,0.0,0.0,0.0,0.0,24.74,2.07,0.0
20231110:1330,0.0,0.0,0.0,0.0,22.98,2.07,0.0
20231110:1430,0.0,0.0,0.0,0.0,21.88,2.14,0.0
20231110:1530,0.0,0.0,0.0,0.0,20.8,2.07,0.0
20231110:1630,0.0,0.0,0.0,0.0,20.01,1.59,0.0
20231110:1730,0.0,0.0,0.0,0.0,19.61,1.79,0.0
20231110:1830,0.0,0.0,0.0,0.0,19.04,2.21,0.0
20231110:1930,0.0,0.0,0.0,0.0,18.01,2.07,0.0
20231110:2030,0.0,0.0,0.0,0.0,17.46,2.41,0.0
20231110:2130,0.0,0.0,0.0,0.0,16.93,2.62,0.0
20231110:2230,0.0,0.0,0.0,0.0,16.39,2.28,0.0
20231110:2330,0.0,0.0,0.0,0.0,15.91,1.72,0.0
20231111:0030,0.0,0.0,0.0,0.0,15.39,1.79,0.0
20231111:0130,0.0,6.64,1.86,3.17,14.94,1.93,0.0
20231111:0230,0.0,23.89,6.71,15.03,15.4,1.79,0.0
20231111:0330,0.0,33.22,9.33,25.84,17.71,2.0,0.0
20231111:0430,139.2,59.55,54.91,34.96,20.47,2.07,0.0
20231111:0530,296.89,79.32,65.51,41.4,22.93,2.34,0.0
20231111:0630,442.33,97.34,69.25,44.02,24.73,2.62,0.0
20231111:0730,538.9,112.14,64.58,42.17,25.67,2.9,0.0
20231111:0830,600.78,125.15,55.62,36.32,26.17,2.9,0.0
20231111:0930,572.64,135.89,40.69,27.59,26.34,2.97,0.0
20231111:1030,442.95,121.21,22.21,17.02,26.12,3.1,0.0
20231111:1130,277.54,63.64,5.46,5.31,25.45,2.76,0.0
20231111:1230,0.0,0.0,0.0,0.0,23.57,2.41,0.0
20231111:1330,0.0,0.0,0.0,0.0,21.9,2.41,0.0
20231111:1430,0.0,0.0,0.0,0.0,20.75,2.34,0.0
20231111:1530,0.0,0.0,0.0,0.0,19.81,2.28,0.0
20231111:1630,0.0,0.0,0.0,0.0,18.98,2.28,0.0
20231111:1730,0.0,0.0,0.0,0.0,18.25,2.28,0.0
20231111:1830,0.0,0.0,0.0,0.0,17.62,2.28,0.0
20231111:1930,0.0,0.0,0.0,0.0,17.06,2.07,0.0
20231111:2030,0.0,0.0,0.0,0.0,16.53,2.07,0.0
20231111:2130,0.0,0.0,0.0,0.0,16.0,2.07,0.0
20231111:2230,0.0,0.0,0.0,0.0,15.54,2.14,0.0
20231111:2330,0.0,0.0,0.0,0.0,15.16,2.14,0.0
20231112:0030,0.0,0.0,0.0,0.0,14.83,2.21,0.0
20231112:0130,0.0,6.44,1.81,2.99,14.59,2.21,0.0
20231112:0230,0.0,23.48,6.59,14.83,14.92,1.79,0.0
20231112:0330,1.21,36.73,39.36,25.62,18.44,1.86,0.0
20231112:0430,144.28,58.82,55.4,34.71,21.35,2.07,0.0
20231112:0530,304.13,78.57,66.0,41.13,23.56,2.69,0.0
20231112:0630,453.0,96.53,69.9,43.74,24.96,2.9,0.0
20231112:0730,572.33,111.24,67.06,41.92,25.76,2.76,0.0
20231112:0830,639.17,122.65,57.54,36.11,26.42,2.62,0.0
20231112:0930,630.97,128.12,42.35,27.42,26.73,2.41,0.0
20231112:1030,513.29,119.4,23.42,16.88,26.62,2.41,0.0
20231112:1130,290.79,65.11,5.49,5.2,25.95,2.0,0.0
